DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161404849,1/13/2016,1/13/2016,200,14,Pacific,1431,440,THEFT PLAIN - PETTY ($950 & UNDER),344,36,M,B,101,STREET,,,IC,Invest Cont,440,,,,PACIFIC,S  WINDWARD,"(33.9877, -118.4723)",90291
161404852,1/14/2016,1/13/2016,1720,14,Pacific,1487,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 1501,57,M,O,101,STREET,,,AA,Adult Arrest,930,998,,,SEPULVEDA                    BL,LA TIJERA                    BL,"(33.9573, -118.3962)",90045
161404854,1/14/2016,1/12/2016,2300,14,Pacific,1445,310,BURGLARY,344,29,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,12700    VENICE                       BL,,"(34.0014, -118.438)",90066
161404855,1/14/2016,1/14/2016,240,14,Pacific,1487,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",416,34,F,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,8600    TRUXTON                      AV,,"(33.9599, -118.3935)",90045
161404858,1/14/2016,1/13/2016,2150,14,Pacific,1409,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,32,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,626,,,,3600    WATSEKA                      AV,,"(34.0288, -118.3996)",90034
161404859,1/14/2016,1/10/2016,2330,14,Pacific,1452,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,00    QUARTERDECK                  ST,,"(33.9702, -118.459)",90292
161404860,1/14/2016,1/12/2016,1730,14,Pacific,1464,310,BURGLARY,344,35,M,W,118,CONSTRUCTION SITE,,,IC,Invest Cont,310,,,,12700    MILLENNIUM,,"(33.9771, -118.4137)",90094
161404862,1/14/2016,1/1/2016,2000,14,Pacific,1483,480,BIKE - STOLEN,344,33,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,8500    FALMOUTH                     AV,,"(33.9588, -118.4374)",90293
161404863,1/14/2016,1/13/2016,1200,14,Pacific,1456,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,W,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,740,,,,4400    INGLEWOOD                    BL,,"(33.9962, -118.4198)",90066
161404864,1/14/2016,1/11/2016,2000,14,Pacific,1414,330,BURGLARY FROM VEHICLE,344,33,F,B,101,STREET,,,IC,Invest Cont,330,,,,600    SUNSET                       AV,,"(33.9976, -118.4705)",90291
161404865,1/14/2016,1/11/2016,2000,14,Pacific,1409,354,THEFT OF IDENTITY,377,25,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3700 S  CANFIELD                     AV,,"(34.0284, -118.3958)",90034
161404866,1/14/2016,1/12/2016,1600,14,Pacific,1483,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,37,M,O,101,STREET,,,IC,Invest Cont,420,,,,7500 W  88TH                         ST,,"(33.9574, -118.4254)",90045
161404868,1/14/2016,1/10/2016,910,14,Pacific,1432,440,THEFT PLAIN - PETTY ($950 & UNDER),344,43,F,A,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,800    VENICE                       BL,,"(33.9914, -118.4578)",90291
161404871,1/14/2016,1/13/2016,514,14,Pacific,1431,900,VIOLATION OF COURT ORDER,1501,40,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,900,,,,00    20TH                         AV,,"(33.985, -118.4715)",90291
